pubtime,medium_code,medium_name,rubric,language,char_count,head,subhead,length,year,text,meta,x,y,label
2022-10-30 23:00:00+00:00,TA,Tages-Anzeiger,Zürich,German,10531,«Das sind Kampfbegriffe»,,9947,2022,Die Thematik wird politisch wie medial hochgekocht.,"10/30/2022, TA",4.2806706,3.1626735,unlabeled
2021-05-06 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,8078,Suffragetten unter Rassismusverdacht,In den Vereinigten Staaten sind die Vorkämpferinnen für das Frauenstimmrecht in die Kritik geraten,7843,2021,"Wichtig ist nur ein Begriff Stanton bemängelt also unter anderem, dass ungebildete irische (Patrick), deutsche (Hans) und chinesische Einwanderer (Yun Tung) Bürgerrechte haben, die intellektuell und literarisch tätigen Frauen verwehrt sind.","05/06/2021, NZZ",4.9249196,1.5300057,unlabeled
2021-11-12 23:00:00+00:00,TA,Tages-Anzeiger,Hintergrund,German,9850,Mit links verloren,,9488,2021,"Der Streit über den richtigen politischen Kurs, der die Partei spaltet, ist nicht neu.","11/12/2021, TA",5.007474,2.9704788,unlabeled
2021-05-31 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,20333,"«Ich bin aktuell vielleicht erfolgreich, aber habe ich es deshalb geschafft?»",,19682,2021,Es gibt Irritanz und Militanz.,"05/31/2021, NZZ",3.1267047,2.3005111,unlabeled
2021-03-26 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,11691,"Liberalismus, ade","Der Wohlfühlstaat gibt sich als netten Onkel aus, der Woke-Aktivist ist der neue grosse Bruder: So schwindet die Freiheit. Von Josef Joffe",11367,2021,Der Staat ist vielmehr der gute Samariter.,"03/26/2021, NZZ",3.472044,2.6069303,unlabeled
2022-05-20 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Front,German,8389,Inflation des Leichtsinns,"Die Preise steigen weltweit in hohem Tempo. Dies nur mit dem Ukraine-Krieg zu erklären, taugt nicht als Ausrede. Vielmehr haben die grossen Zentralbanken während Jahren geradezu fahrlässig gehandelt. Das rächt sich nun.",8307,2022,In den USA fühlte sich das Fed nach einer Strategieanpassung plötzlich verantwortlich für den Abbau von Ungleichheit oder den Schutz benachteiligter Gruppen.,"05/20/2022, NZZ",4.0499177,1.0305877,unlabeled
2018-06-20 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,7847,Diese Jungen könnten unsere Eltern sein,Der Mief der viktorianischen Ära scheint wiederzukehren. Wohin ist der Freigeist der sechziger und siebziger Jahre entschwunden?,7428,2018,"Aber bitte mit Anstandsdame Hat das gar nichts mit uns zu tun, oder geraten wir auf eine ähnliche Fahrbahn?","06/20/2018, NZZ",0.35445836,4.54676,unlabeled
2022-10-02 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,6735,«Mad Heidi» platzt in die heile Festivalwelt,"Einst hat das Zurich Film Festival viele Leute geärgert, nun mögen es alle. Es wäre an der Zeit, sich wieder unbeliebt zu machen",6457,2022,"Über «Winnetou» ward gestritten, man debattierte über die kulturelle Aneignung, aneignen tat sich Christian Jungen die Debatte.","10/02/2022, NZZ",4.069921,2.5290651,unlabeled
2021-03-26 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,11691,"Liberalismus, ade","Der Wohlfühlstaat gibt sich als netten Onkel aus, der Woke-Aktivist ist der neue grosse Bruder: So schwindet die Freiheit. Von Josef Joffe",11367,2021,"Der gute Staat nutzt nicht Peitsche, sondern Zuckerbrot.","03/26/2021, NZZ",3.1384978,2.1711857,unlabeled
2001-03-07 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,,German,4435,«We are Nr. 1 . . .» - Zürcher Kunstszene in der Galerie Bob van Orsouw,,4352,2001,Hier gedeihen seit einiger Zeit High und Low Culture in friedlicher Koexistenz von der Party- und Klubszene über die Theaterbühnen des Schiffbaus bis zu den Schauplätzen der Gegenwartskunst.,"03/07/2001, NZZ",4.086012,1.9743232,unlabeled
2019-03-22 23:00:00+00:00,TA,Tages-Anzeiger,Wochenende,German,16835,"Sie wissen, was wir sehen wollen",,16233,2019,"«Bei ‹Bandersnatch› haben wir geschaut, ob die Leute eine halbe Stunde oder eine Stunde Gefallen an der Story gefunden oder wie oft sie eine Wahl getroffen haben», sagt Netflix-Chef Reed Hastings dazu.","03/22/2019, TA",3.8752103,7.557543,unlabeled
2022-12-30 23:00:00+00:00,TA,Tages-Anzeiger,Und jetzt?,German,17843,"«So wie bisher geht es nicht weiter, wir müssen neue Formen finden»",,16898,2022,Was für Übergriffen?,"12/30/2022, TA",3.3606484,0.7229977,unlabeled
2022-05-31 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,5628,Therapie für alle,Rammstein feiert im ausverkauften Stadion Letzigrund die modernen Antihelden – und jeder ist mitgemeint,5425,2022,"Darüber ertönen die Kaskaden der Bässe und Gitarren, während Synthi-Motive giftig durch die schweren Akzente züngeln.","05/31/2022, NZZ",0.81520575,6.17055,unlabeled
2022-12-30 23:00:00+00:00,TA,Tages-Anzeiger,Und jetzt?,German,17211,"«So wie bisher geht es nicht weiter, wir müssen neue Formen finden»",,16898,2022,Oder ist die neue Fluidität punkto Geschlechtsmerkmale die Zukunft der Mehrheitsgesellschaft?,"12/30/2022, TA",3.8870933,0.6951287,unlabeled
2022-06-21 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Schweiz,German,7195,Aussen rot und innen grün,Der neue Juso-Präsident Nicola Siegrist will für den Kampf gegen den Klimawandel Geld von reichen Erben holen,6965,2022,Doch dazu seien sie auch von aussen gezwungen worden.,"06/21/2022, NZZ",1.9963521,2.7042205,unlabeled
2021-07-21 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9790,Schwer schnauft der sterbende Elefant,Im Berliner Humboldt-Forum bleibt man die Antwort auf die postkoloniale Debatte schuldig. Von Johann Michael Möller,9686,2021,Es spiegelt den Zustand dieser Nation.,"07/21/2021, NZZ",3.2624497,2.8161488,unlabeled
2017-06-05 22:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,8100,"Revolution, Rave und Ritalin",,7748,2017,"Beeinflussen Ereignisse wie 9/11, Fukushima oder eine Weltwirtschaftskrise deshalb nicht Angehörige aller Altersgruppen?","06/05/2017, TA",3.650239,3.4685376,unlabeled
2022-11-08 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10606,«Neun von zehn Stücken sind langweilig»,"Milo Rau zählt zu den prägenden Regisseuren des Gegenwartstheaters. Im Gespräch mit Ueli Bernays und Benedict Neff sagt er, ein Stadttheater dürfe keine Traditionen pflegen, es müsse Avantgarde sein. Beim Wort «woke» schläft er ein",10416,2022,"Würde man «Wilhelm Tell» so spielen, wie ihn Schiller geschrieben hat, würde er sieben Stunden dauern.","11/08/2022, NZZ",2.3810782,5.435377,unlabeled
2020-11-20 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,10363,Mein Abschied von China,,10258,2020,"Das Internet brachte nicht die Freiheit, wie sich viele im Westen erhofft hatten, sondern Zensur und Überwachung von monströsem Ausmass.","11/20/2020, NZZ",4.6613593,2.0311844,unlabeled
2022-09-12 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,8956,Was bedeutet eigentlich «sexuelle Identität»?,"Gender-Aktivisten krempeln mit Vehemenz die Sprache um. Dass wir dabei den Durchblick verlieren, ist gewollt. Gastkommentar von Rieke Hümpel",8672,2022,"Das Wort «Geschlecht» hat zwar schon seit je mehrere Bedeutungen im Deutschen, vorherrschend ist allerdings jene biologische Definition, die den wesentlichen Unterschied zwischen weiblich und männlich beschreibt.","09/12/2022, NZZ",3.8170724,0.25757217,unlabeled
2022-07-21 22:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,7320,Angriff auf Herzogin Meghan,,7001,2022,Aber die meisten haben nicht mal geantwortet.»,"07/21/2022, TA",2.730017,3.1756833,unlabeled
2021-03-14 23:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,9913,«Ich verstehe die Wut»,,9716,2021,"Es wäre doch schade, wenn wir mit Mitte 20 dem Irrglauben verfallen würden, wir hätten unseren Menschwerdungsprozess bereits abgeschlossen.","03/14/2021, TA",0.96643245,4.317677,unlabeled
2021-05-31 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,20333,"«Ich bin aktuell vielleicht erfolgreich, aber habe ich es deshalb geschafft?»",,19682,2021,Das Leben ist realistisch geworden.,"05/31/2021, NZZ",1.37564,3.365377,unlabeled
2022-10-02 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,6735,«Mad Heidi» platzt in die heile Festivalwelt,"Einst hat das Zurich Film Festival viele Leute geärgert, nun mögen es alle. Es wäre an der Zeit, sich wieder unbeliebt zu machen",6457,2022,Nach 18 Jahren ist das Festival voll etabliert.,"10/02/2022, NZZ",1.8119063,6.159215,unlabeled
2021-04-27 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,5400,Gal Gadot ist Israels Östrogenspritze fürs Blockbuster-Kino,«Wonder Woman» bringt eine feministische Galionsfigur auf die Leinwand. Ihre Darstellerin gerät ins Kreuzfeuer der Nahostpolitik,5228,2021,Gadot hat Militär gemacht.,"04/27/2021, NZZ",3.7911847,6.413524,unlabeled
2021-04-15 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,12305,«Foucault lachte über Pädophilie»,"Hat Michel Foucault Buben missbraucht? Von diesen Gerüchten hält Pascal Bruckner wenig. Aber im Gespräch mit Claudia Mäder blickt der Pariser Essayist kritisch auf die Verblendung, die in linken Kreisen nach 1968 lange herrschte",12056,2021,Das Bewusstsein der Linken hatte sich ab den 1980er Jahren langsam in diese Richtung entwickelt.,"04/15/2021, NZZ",4.8660264,2.878129,unlabeled
2020-08-17 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,3679,Die Cancel-Kultur canceln,Von MILOSZ MATUSCHEK,3626,2020,Es ist immer das Gleiche:,"08/17/2020, NZZ",0.05799551,3.4071455,unlabeled
2022-06-01 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,5926,Der Film zur Stunde,"Tom Cruise rettet in «Top Gun: Maverick» das Abendland. Manche weiden sich am Militarismus, andere entdecken darin Homoerotik",5701,2022,"In der LGBT-Community können die Instagram-Accounts zugepflastert werden mit Szenenbildern der durchtrainierten Kampfpiloten, die in Badehose Rugby spielen;","06/01/2022, NZZ",4.5005183,5.3848753,unlabeled
2021-05-07 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10576,Irgendwann kollabiert das Absurde unter seinem eigenen Gewicht,"Umbenennen, verbannen, canceln: Wohlmeinende Umstürzler sind in Europa am Werk. Wohin das führt, ist abzusehen.",10442,2021,"Danton, Saint-Just, schliesslich Robespierre.","05/07/2021, NZZ",3.9345112,2.9166973,unlabeled
2022-08-01 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Schweiz,German,4569,Die Berner Dreadlocks-Debatte erreicht Deutschland,Der frühere Münchner SPD-Oberbürgermeister Christian Ude kritisiert die sittenstrenge und verbotsfreudige «woke Generation»,4441,2022,"Ude, der die bayrische Landeshauptstadt von 1993 bis 2014 regierte, für seine SPD regelmässig Wahlergebnisse von über 60 Prozent holte und einst Schirmherr der «Pride» war, schreibt nämlich: «Lieber Roland, herzlichen Dank für deine erfrischenden Worte.","08/01/2022, NZZ",5.4313297,3.6784616,unlabeled
2020-11-20 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,10363,Mein Abschied von China,,10258,2020,"Literweise Herzblut ist geflossen, um einigermassen passabel Chinesisch zu lernen.","11/20/2020, NZZ",4.302975,2.1866453,unlabeled
2022-08-12 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Wochenende,German,3996,"Sie spüren, wenn ein Blatt vom Baum fällt",,3851,2022,"Sofern man nicht völlig abgestumpft ist, wird jedem manchmal doch alles zu viel.","08/12/2022, NZZ",1.5085424,2.3729994,unlabeled
2021-03-05 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9909,Die Krise schafft die schönsten Lieder,"Musik ist eine geduldige Therapeutin. Sie lässt sich Zweifel, Hass und Kummer gefallen – und profitiert gar davon.",9800,2021,"Die Songs tragen dann ihren Namen: «Hannah do no harm», beschwört sie sich in «Hannah Sun».","03/05/2021, NZZ",0.9377081,6.1929774,unlabeled
2021-01-06 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9981,"«Wenn ich noch irgendwo die Saat und die Idee der Zukunft sehe, so nur bei uns»",Fjodor Dostojewskis Werk scheint zweihundert Jahre nach seiner Geburt aktueller denn je. In zahlreichen Fragen vertritt der Schriftsteller pointierte Positionen. Ulrich M. Schmid hat sich auf klandestinen Wegen mit dem russischen Romancier unterhalten,9777,2021,Der römische Katholizismus ist noch schlimmer als der Atheismus.,"01/06/2021, NZZ",1.8396345,2.1712291,unlabeled
2021-03-26 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,11510,"Liberalismus, ade","Der Wohlfühlstaat gibt sich als netten Onkel aus, der Woke-Aktivist ist der neue grosse Bruder: So schwindet die Freiheit. Von Josef Joffe",11367,2021,"Ist uns die Welt zu schwierig, flüchten wir gerne in die Arme des Staates.","03/26/2021, NZZ",3.3451028,2.514318,unlabeled
2022-12-30 23:00:00+00:00,TA,Tages-Anzeiger,Und jetzt?,German,17843,"«So wie bisher geht es nicht weiter, wir müssen neue Formen finden»",,16898,2022,"In einigen Awareness-Konzepten heisst es, dass man nur Leute ansprechen soll, die auch angesprochen werden wollen.","12/30/2022, TA",2.4244015,1.8127732,unlabeled
2022-07-27 22:00:00+00:00,TA,Tages-Anzeiger,Kehrseite,German,6483,Krieg? Make it Fashion!,,6217,2022,"Wenn man bereit ist, diese ganzen feministischen Antagonismen auszuhalten.","07/27/2022, TA",4.0796065,0.6223923,unlabeled
2022-08-09 22:00:00+00:00,TA,Tages-Anzeiger,Seite Drei,German,8783,Mission: Attacke,,8307,2022,In dieser Zeit haben ihn Parteikollegen auch öffentlich für «Alleingänge» kritisiert und diese als «schädigend für die Partei» betitelt.,"08/09/2022, TA",5.680076,3.1304736,unlabeled
2020-11-20 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,10363,Mein Abschied von China,,10258,2020,"Das waren ideale Voraussetzungen, um sich als junger Mensch auf dieses chinesische Abenteuer einzulassen.","11/20/2020, NZZ",4.3590603,2.3176816,unlabeled
2022-07-25 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,8555,Unsere Universitäten brauchen eine Revolution,"Das Bildungswesen verliert sich im Aktivismus. Um das kritische Denken zu fördern, sind neue Institutionen nötig. Von Ayaan Hirsi Ali",8438,2022,"Dennoch blieb er ein «epistemologischer Optimist» – er hoffte, dass der Verstand in der Ivy League wie auch im Land überhaupt obsiegen würde.","07/25/2022, NZZ",4.8988194,2.3742192,unlabeled
2022-07-25 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,8555,Unsere Universitäten brauchen eine Revolution,"Das Bildungswesen verliert sich im Aktivismus. Um das kritische Denken zu fördern, sind neue Institutionen nötig. Von Ayaan Hirsi Ali",8438,2022,"Man hätte erwarten können, dass zumindest einige dieser Studenten Angst davor hätten, die progressiven Glaubenssätze infrage zu stellen.","07/25/2022, NZZ",4.8114586,2.4620402,unlabeled
2022-06-24 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Wochenende,German,3946,Seinen Eltern entkommt man nie,,3810,2022,"Indem sie die Nichtbeziehung zu ihrem Vater so demonstrativ verkündet, intensiviert sie aber womöglich bloss die Beziehung zu.","06/24/2022, NZZ",3.091638,3.9235146,unlabeled
2021-05-31 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,20333,"«Ich bin aktuell vielleicht erfolgreich, aber habe ich es deshalb geschafft?»",,19682,2021,Das wunderbare Kunst-Zeitungs-Projekt stand auf der Kippe . . .,"05/31/2021, NZZ",4.4127746,4.2954664,unlabeled
2022-05-20 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Firmen & Finanzen,German,1767,UBS in der Woke-Falle,,1706,2022,Allerdings steht «sich einsetzen» nach der Liste ebenfalls unter Männlichkeitsverdacht:,"05/20/2022, NZZ",3.9918656,0.4137822,unlabeled
2021-11-25 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,19259,"Unheimliche Brüder, bigotte Schwestern","Die islamistische Muslimbruderschaft und ihre Sympathisanten streben in Europa nach Macht und Einfluss. Offiziell hat niemand etwas mit ihnen zu tun, aber die Realität sieht anders aus. Von Lucien Scherrer",19021,2021,"Die Ausbreitung dieses Phänomens beschäftigt die meisten Einwanderungsländer Westeuropas, es beunruhigt Geheimdienste, Wissenschafter und liberale Muslime.","11/25/2021, NZZ",6.6161976,0.85435706,unlabeled
2022-11-08 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,5920,Die Kulturkämpfer der Mitte blasen zum Angriff,Die bürgerliche Denkfabrik R21 hat in Berlin zur kulturellen Gegenmobilisierung aufgerufen. Woke Identitätspolitik bedrohe Freiheit und Demokratie,5749,2022,Antworten wurden nur angerissen.,"11/08/2022, NZZ",1.7810515,3.2657695,unlabeled
2022-08-02 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,6768,Beyoncé macht den Feminismus tanzbar,Die Sängerin widmet ihr neues Album der Disco-Ära. Und erteilt den Männern eine Lektion,6543,2022,"Das künstlich erzeugte Handklatschen (Handclaps) wird die Leute von Stuttgart bis Sydney auf die Dancefloors treiben, da kann man sich sicher sein.","08/02/2022, NZZ",1.0905519,5.8284984,unlabeled
2021-05-07 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10570,Irgendwann kollabiert das Absurde unter seinem eigenen Gewicht,"Umbenennen, verbannen, canceln: Wohlmeinende Umstürzler sind in Europa am Werk. Wohin das führt, ist abzusehen.  Von Josef Joffe",10442,2021,"Dass 84 Prozent aller weissen Amerikaner Ehen zwischen Schwarz und Weiss gutheissen, statt weiland nur 4. Dass ein Dutzend Bürgerrechtsgesetze verabschiedet worden sind, Gleichstellung Staatsräson ist.","05/07/2021, NZZ",5.765701,1.3678744,unlabeled
2021-05-06 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,8078,Suffragetten unter Rassismusverdacht,In den Vereinigten Staaten sind die Vorkämpferinnen für das Frauenstimmrecht in die Kritik geraten,7843,2021,In den USA erhielten Frauen das Wahlrecht fünf Jahrzehnte später als schwarze Männer.,"05/06/2021, NZZ",4.7911587,0.8047672,unlabeled
2021-05-07 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10576,Irgendwann kollabiert das Absurde unter seinem eigenen Gewicht,"Umbenennen, verbannen, canceln: Wohlmeinende Umstürzler sind in Europa am Werk. Wohin das führt, ist abzusehen.",10442,2021,"Dass sich Revolutionen radikalisieren, ist ein eisernes Gesetz.","05/07/2021, NZZ",3.3074152,2.5132837,unlabeled
2022-03-20 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,9717,Wokeness wird zum Wahn,In San Francisco wächst der Widerstand gegen die neue Gegenaufklärung namens «Critical Race Theory». Von Josef Joffe,9570,2022,Dutzende von Drugstores gaben auf;,"03/20/2022, NZZ",2.7248967,3.3682854,unlabeled
2020-01-06 23:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,5723,«Nehmt euren Preis und verpisst euch»,,5410,2020,Beste Schauspielerin Drama: Renée Zellweger («Judy») spielt die US-Ikone Judy Garland.,"01/06/2020, TA",3.3158267,6.1011753,unlabeled
2022-11-15 23:00:00+00:00,TA,Tages-Anzeiger,Kultur & Gesellschaft,German,10664,Ein Theater für die Woke-Blase?,,10190,2022,"Milo Rau: Ich glaube ja nicht, dass das nur eine Enttäuschung ist, sondern auch ein Gewinn.","11/15/2022, TA",0.8230411,2.7591867,unlabeled
2019-04-09 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,International,German,5032,Die laute Minderheit probt den Aufstand,Die Debatte um Joe Biden in den USA beleuchtet die Zerrbilder der sozialen Netzwerke,4838,2019,"Der gleiche aktivistische Flügel definiert Diversität mit Kriterien wie Rasse, Geschlecht und sexueller Ausrichtung, aber lieber nicht punkto politischer Meinung.","04/09/2019, NZZ",4.27721,0.39918813,unlabeled
2020-09-17 22:00:00+00:00,NZZ,Neue Zürcher Zeitung,Feuilleton,German,10073,Nur auf das Gefühl kommt es an,"Absurde Thesen greifen um sich, wie etwa, dass nur Weisse Rassisten sein können. Was steckt dahinter?",9804,2020,Sie habe Hate-Speech betrieben.,"09/17/2020, NZZ",5.378621,1.7140709,unlabeled
2022-12-26 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Meinung und Debatte,German,9484,Böse alte Welt,"«Woke» Westler werfen früheren Gesellschaften vor, anders zu denken, als wir es heute tun, und waschen die Vergangenheit weiss. Präsentismus heisst das Phänomen der Geschichtsklitterung. Zivilisierung aber heisst, aus Fehlern zu lernen. Von Viola Schenz",9370,2022,Der eigentliche Zweck geht allerdings weiter:,"12/26/2022, NZZ",-0.09450322,3.373448,unlabeled
2022-11-06 23:00:00+00:00,NZZ,Neue Zürcher Zeitung,Medien,German,12368,«Keine Sorge: Ich kann mich wehren»,,12092,2022,"Weil der Ton und die Sprache einen anderen Zug haben, empfindet man die Deutschen schnell als strenger, obwohl sie das gar nicht sind.","11/06/2022, NZZ",3.9657388,3.4514742,unlabeled
