text,x,y,label
Somehow I think  have made an error in pricing the product or the price per litre #awkward https://t.co/0A7x9NOghv,2.5926301,0.056078766,unknown
"Hi, I work in one of your Tesco stores and am trying to sign up for a MyAccount. However once I've put in my D.O.B and national insurance number it says it doesnt match the records. Thanks",0.021823484,-0.04477067,unknown
Date night! 💜 thanks  Clubcard! #tesco #clubcard #date #chef&amp;brewer https://t.co/aplFSQ2NwC,6.7963185,-0.66552544,unknown
"Again, not impressed with the service received from . Sit and tell me there going to do something about my problem and ignore me.",0.6851698,2.0641136,unknown
@sainsburys would you still eat these? Only bought 2 weeks ago! #verydisappointed stored as per instructions and in date #hungrysobettergotesco https://t.co/6TtspYwUOI,6.8271537,-0.17439768,unknown
"just gone to open this, stil in date and it’s gone green what the hell both packets purchased are the same #tesco #wiltshireham #thinkimgonnagoveggie https://t.co/834Ecg40p8",3.921947,0.6609925,unknown
"Stilton and Truffle @tesco finest crisps, more like @tesco foulest https://t.co/N01oe3Q2SS",6.8199096,0.21877544,unknown
"(elgin store) lovely breakfast. NOT. Hair in bacon roll(why no hair nets?), dirty cutlery, rude staff, long wait for food.",6.4892745,-0.83261794,unknown
Huge thanks to @Morrisons and  in Chorley for their kind donations of pumpkins for our children to carve. Thank you so much! 💓 https://t.co/2tVmpKqqS6,6.32248,2.5263155,unknown
When you and your sister are in  contemplating buying 3 sets of Xmas bedding as they’re all amazing  @84576,5.030255,1.3624963,unknown
Hey  You retarget me with a specific TV offer. I click on the banner and you take me to a generic Black Friday deals page?? #badcustomerexperience #poorservice,1.7795317,2.205715,unknown
why do your mixed nuts no longer contain Brazils  it still shows them in the description &amp; pic online but they have vanished,6.7108154,1.1998252,unknown
"hi  on your chocolate pillows box unscrambler you only give seven boxes for the answer ‘swimming’ when there’s 8 letters, which gives you the answer ‘wiiner’ instead of winner pls fix thanks
Sincerely, a 21 year old who still does these https://t.co/xigw4K6sqe",5.074601,2.0326452,unknown
"Hey there, how long does it usually take for your home delivery service to become available to new properties? We've been at our new place for a month now and still don't see ant slots available for our address (in the middle of a major city)",-0.54379314,1.0769044,unknown
very disappointed https://t.co/EQdhLl6xcM,4.891208,3.6316009,unknown
"I ordered flowers for delivery 2moro for a lady who's leaving the company,said delivery can be 7pm! We need it to be before 3pm! Help",-0.4758897,1.3457956,unknown
hi can you tell me if you sell the Season Pass for COD: WW2 on Xbox one please.,2.24219,-1.3465682,unknown
The joys of click and collect Redmere Farm veg from  #rubbish https://t.co/HluU1Abzc7,6.905012,1.7956239,unknown
Disappointed to find the 1 item we wanted on our food order not delivered along with a late delivery. No surprise,-0.14431226,1.7200857,unknown
Not pleased to see all my satsunas are mouldy since 3 days before best before date :( https://t.co/RbO3qRppHO,6.7703586,1.2823014,unknown
fed up of buying food that falls below standard. Ripe and ready avocado and mango that's SOLID &amp; woody. Going to shop @117246 today,7.251614,1.8332989,unknown
@908 @909 @sainsburys  hey my wallet was lost and I’ve lost my membership cards and losing points help plz x,-0.6230271,-0.50388455,unknown
Bit of kale creeeeeping into my spinach 👀  https://t.co/8yTPEu17B0,8.320128,0.5154671,unknown
Do not buy the hole punch pockets from  these are so bad for folder use. https://t.co/bpHCzWVfyh,4.3567176,1.2418568,unknown
Hence that's why we needed a wheelchair. Can you please tell me what is the point in having ( one ) wheelchair ?,2.9478028,3.4682703,unknown
Is it only me that thinks the M&amp;S &amp; Tesco gf sandwich thins look under baked.  Not a spot of the warburton ones but they are hard to get,6.5527425,-0.49606296,unknown
"been waiting for a parcel to arrive since 29/10. Still no sign. Only 2/3 items arrived, and no receipt. Please contact me to follow up",-0.2616949,0.9385907,unknown
"If you insist on closing nearly all self service tills before 9 at your Harrow station store, at least have more than 1 till staff.",1.7335238,2.0178194,unknown
@123088 are all your stores too the midnight release for WW2 tonight?,2.7570443,-1.3444602,unknown
"After last weeks tweet about computer scoring by  I got a response from their resourcing team, sadly it was just a standard email response and not one that actually answered what I asked, oh well it's what I expected though.",0.7756786,1.5075152,unknown
how does my parcel arrive at store looking like this?! And it's a gift! https://t.co/SKXQTIS8iO,2.9094393,1.0148188,unknown
your tag indicated that the reduced price is £2.22 but you still charged me £2.50 which is the price before reduced ???,2.6142612,0.0017997504,unknown
"just paid £16 for 4 @23384 advent calendars only to find day 3 empty in all four! Looked inside the boxes only 18-22 items in each, last time I counted an advent calendar needed 24 days! #4boys disappointed 😔 #mumslife #martinlewis https://t.co/mojTbQgsiY",5.0123014,0.5730967,unknown
is there something wrong with the website? Was in the middle of an online shop &amp; now it’s saying it can’t direct me to the page?,0.47517115,-0.94649154,unknown
I give up... I'm running to tesco at this hour to get me some cake.,5.5116615,0.20018297,unknown
lost all my discount off shopping vouchers in your Baldock branch today. Are they coded to my account? Can you resend them? Please help 😥,-0.01985461,-0.2491281,unknown
"spotted today in Downham Market store, obviously an error, but I took full advantage, purchased 3 &amp; the duty manager couldn’t have been more professional.  Every little helps! https://t.co/2G0GKKoNGn",2.4399974,0.7761851,unknown
please rethink the placement of @452109 as they are not actually gluten free!! Very misleading and potentially dangerous,6.472935,-0.49412706,unknown
not a happy customer. shopping getting here late. few items missing. and getting chatted up by the delivery man. not impressed,0.1877936,1.8081464,unknown
"Yo , whatever is in this bottle of ginger beer, is not ginger beer.. https://t.co/pIFi5uiblq",6.8039484,0.5966887,unknown
"Hi there, is there anyway I can access last years Christmas shopping list on the delivery app? Thanks 🎅🏻🎄",-1.2344861,0.8529269,unknown
"@117246  @117249 @Morrisons @sainsburys @marksandspencer @3878 @24073 @117250 @136881 Great Initiative from Aldi Uk, don't you think guys? Any thoughts from you all about it? Or would you rather see that perfectly edible surplus fresh produce rot in bins? https://t.co/q6AMp0Cxpf",5.985669,1.7150414,unknown
suprised to be accosted by beggar outside your Reading Extra store on Oxford Road,2.9579108,2.328231,unknown
the people have spoken. We want more feta in this meal deal. https://t.co/02qJExWE8C,7.415456,-0.13310859,unknown
I have to say that the staff at faringdon store are always really good. Shame I can’t say the same about today with the till supervisor/ manager seeing me struggling to use a self serve till and just look at me then just turning away.,1.2536033,2.7729616,unknown
"I keep getting Sorry, an error occurred, please try again. when trying to check out, is this a problem at your end or mine?",0.37212417,-0.6720034,unknown
- Princes Road Chelmsford - main entrance under water creating vehicular and pedestrian chaos - can you get someone in to clear? https://t.co/3P8jkvBsoT,2.683423,3.2448468,unknown
"I was eating some oranges from , looked at the label, post harvest processing... you need to check. Seriously.",7.373274,1.7383573,unknown
seriously??? WTF? https://t.co/R3JtVbs6qs,5.2076454,3.6354752,unknown
why is your 24 hour Streatham Extra store closed at 6.30am?,2.066803,1.7701051,unknown
Is it true that  are paying temporary staff via a pocket money card that they have to pay to withdraw money from? If so it’s disgusting and I will be boycotting,1.3564336,1.4706006,unknown
my local tesco extra and online groceries dont sell dry puppy food? Why? Used to be able to get it but now nothing? May have to change where we shop if we cant get food for the doggy!,5.5326204,-0.36418578,unknown
"Why don't supermarkets sell precut pumpkins? #justathought #Halloween 
 @117249 @sainsburys @Morrisons @AldiUK @117246 @117250 @117248",6.3109136,2.5807316,unknown
I don't know his name but the security guard at the Kingsland Road store is SO lovely and sweet he makes my day 💞,1.0548302,3.317263,unknown
"can you tell me what quantifies as a cake for the use of this voucher? So far I have purchased a box of cakes and a pack if doughnuts yet neither time has it been accepted.
Confused of Birmingham https://t.co/VqUSEK10Lp",1.4648123,0.054142036,unknown
Pnawn o beintio gyda Sarah  #calangaeaf # dosbarth ytraeth https://t.co/sXNLrMxUFm,4.86315,3.1075535,unknown
got a free dead wasp with me lettuce do I win a prize https://t.co/Q9l0G36vvQ,8.188039,0.8813528,unknown
I just bought this avocado at my local Tesco... disgusting is right word!! https://t.co/4mFTfQrGJi,7.543393,2.1189334,unknown
"Please improve the taste of your sugar free lemonade. Love, a frequent customer/consumer of slightly more-expensive lemonade.",6.906493,1.3446532,unknown
I'm collecting a range of gifts for children/teens in hospital at Scarborough over Christmas. Is there anything you could do to help please? 😘❤️,5.4134555,2.0327232,unknown
"hi, both mum and i agree that the chicken that has been delivered doesnt seem to be normal quality, rather small and dried up",7.795346,-1.4538485,unknown
why cant I complete my order online can’t get any further than the checkout says something went wrong,0.26923364,-0.5406583,unknown
"can you please find out if your Leeds Bramley, Leeds Seacroft Extra or Leeds Roundhay store still have FIFA 18 in stock please",3.6457477,-0.5970116,unknown
I have a printer that I brought 1 year and 4 days ago that now chews up the paper. Is there anything I can do about it?,3.2933779,0.36706427,unknown
"The food in UK is so fresh, my wife found a live honey bee in packed spinach bought from",7.213436,-0.44477025,unknown
just been sick- dead fly in my salad https://t.co/EIKZhonZjl,8.26237,0.1457849,unknown
"Good first online shop from  but unfortunately my oranges have had a rough ride, how do I go about getting a refund for this item?? https://t.co/OG9nON6Zoy",7.172354,1.9517624,unknown
@299776 why can't we get our semi skimmed from Tesco any more? Want to buy @28877 https://t.co/M7HcFkeV2S,3.4656148,0.89537144,unknown
"I’m having problems with my Tesco delivery that’s meant to be delivered today. 
No sign of it even though the time slot was 10-11am, no call to say he’s on his way and the money hasn’t left my account. 
My ref number is 286269582, can someone let me know? Thanks",0.28990838,0.6693774,unknown
is online grocery shopping down for everyone or just me? Site works fine but as soon as I log in and go to groceries the site gives me Oops error.,0.6658435,-0.78214896,unknown
never shopping here again. Tried to buy baby teething granules today to be then told it’s a pharmaceutical drug and cannot be sold. Then why stock it then!?! Yet I bought it here two weeks earlier?  #terribleservice,2.8281815,0.6330998,unknown
"bought 6 pack of eggs but one was broken, which seems to have welded the rest of the eggs to the pack... https://t.co/buZCbmvMIw",7.7610545,-1.4325364,unknown
"@tesco Tesco Direct site states 'You can pre-order this product now for delivery on the launch date'. Launch date is 27/10, but my order says delivery by 31/10. Which is correct?",0.087567426,0.57706827,unknown
Mould adds to the flavour I guess?  only 3 months within date ... https://t.co/1O3GfC9XYS,5.9870186,0.5495819,unknown
Hi  I was told that Customer Service would ring me back on Monday...is everyone ill?,0.27710903,1.7330725,unknown
"Hey , how come Great Western Road in Glasgow never has furniture polish or black bin bags? Students need to clean stuff too.",2.739755,2.7321146,unknown
York Clifton store i bought a pizza when i opened it the topping was all to one side unpacking needs to be done correct not rushed,6.505108,-1.2206177,unknown
@tesco What do you think of this mouldy bean? Tesco Pembury. https://t.co/lfUbMoVNYf,7.919031,0.6192682,unknown
went to get my 3 for 2 on toys this morning but the offer has finished! Will there be anymore toy offers before Christmas? #tesco,3.2513845,0.20071518,unknown
are tesco in clowne open to collect call of duty ww2 tonight at midnight??,2.775065,-1.2211491,unknown
"nobody at customer services, had to join huge tobacco queue. You really do not give a toss about your customers do you.",1.2561363,2.3587759,unknown
what a joke- Collingham express (amazing rural #yorkshire store) now no longer stocking plain flour #landofyorkshirepuds #sortitout https://t.co/NqQth0FTOL,5.634105,-0.4027041,unknown
why have you changed the recipe of your mayo it’s awful,7.7409945,-0.7167271,unknown
Why can't you buy  Christmas wrapping paper as part of your grocery shop for delivery?,4.360659,1.4194295,unknown
Is there nobody working today? @tesco,1.7156346,1.9610058,unknown
@131461 does this even exist??!! Been to four different Tesco’s and no staff knew anything about it!! https://t.co/QDLKaENXad,3.0731945,0.8413585,unknown
"Hey. Is it absolutely essential that I bring my prescription when collecting glasses from the Opticians? The last time I collected glasses I didn't need it, but the email says it is essential.",0.0018602506,2.905263,unknown
Tesco substituted my pie and then forgot my substituted pie. I'm a homesick northerner who's pie has been stolen.,6.7926354,0.059486106,unknown
employee ATTACKS CUSTOMER https://t.co/WiArbgoacM via @126972  every little help in showing why not not to shop there (this is not my video but one I was sent),1.5589592,2.193718,unknown
Hi  why is you Clubcard fob so hard to scan?  Even your self service staff at Warwick couldn't help!  Hopeless.,-0.48642018,-0.72899514,unknown
I’ve had cough medicine more spicy than your Spicy Chicken pasta,7.9099345,-0.307381,unknown
Hi  were after some Halloween decorations and pumpkins for our Halloween party.. any chance you could help us out?,6.1236267,2.5114563,unknown
Hey  at the moment our Clethorpes Extra is called Tso Tra (missing the letters) This needs to be fixed oh... and put a Christmas light on there while your there!,2.5533814,1.5647463,unknown
"So  have rolled out new contactless clubcards, yet their “pay at pump” machines don’t actually accept them!!",-0.37924927,-0.7987917,unknown
Can this voucher be used today? https://t.co/abUQeptckL,1.4976689,0.15570764,unknown
Patches of raw naan after heating up in the oven per instructions. Not fun to pick out the edible bits during a meal. https://t.co/TmHTUD4S4q,7.0338135,0.029392576,unknown
@sainsburys  @Morrisons @117250  Are any of you other Supermarkets doing your bit to help those in need over Christmas like @AldiUK https://t.co/XRrwRTMFSg,5.383351,1.9653151,unknown
#purley only has one flavour of @128564 #nondairy #vegan ice-cream. JUST ONE FLAVOUR! OUT OF THREE! how???????,6.6599646,0.45574912,unknown
outrageous customer services @tesco #caledonainroad - some customer care skills are strongly needed! #rude #disgusting #avoid,1.3202877,2.3397596,unknown
Trying to do an  grocery delivery and the website has decided to stop working. Great.,0.71854436,-0.8115555,unknown
"Non-existent customer service today, updated web site fail, IT help fail. 'Every little helps' catastrophic fail.  #unhappycustomer",0.4369971,1.9414771,unknown
"my last 3 Weeks of Savings coupon code isn’t working online despite meeting £70 minimum spend. Valid 06/11 - 12/11, delivery booked 11/11.  Week 1 and 2 worked fine. Can you help?",0.035939306,-0.17356862,unknown
This is the fourth time in a row that my  delivery has been delayed! Ridiculous!!!  explain yourselves!! 😠😠😠😡😡😡Grr....,-0.38686937,1.9092649,unknown
I would be watching #WonderWoman in 4K right now but thanks to  Entertainment department at Hermie Gait that ain’t happening 😒,5.003364,2.896609,unknown
. Travelled over 800 miles to be with family and waiting for shopping between 8-9pm. 23:30.nothing arrived! Disgusted. @479643,0.30117455,1.8629488,unknown
Awful avocados from @marksandspencer one off &amp; the other too hard to cut! Should have stuck to Tesco!,7.491567,2.0849607,unknown
- Big thanks 2 ur direct team 4 phoning check the order was me as sounded suspect - bank fraud discovered ASAP due to ur vigilance..😊,0.2460829,0.14102511,unknown
"you need to improve Click &amp; Collect at Warwick Superstore. Items are the other side of the store and you’re keeping customers waiting, very inefficient. How will you cope with Christmas?",2.4049397,1.0890546,unknown
"Hi, I can’t seem to add an order note for the delivery to my nans address.",-0.3743046,0.8308109,unknown
How long does it take to convert points to Avios vouchers? I've been waiting over a week now... Thanks.,-0.65803653,-0.4930705,unknown
Well...trying to make pumpkin pie in London doesn't work! Tried 3  &amp; 3 @sainsburys . none had pumpkin purée! Rubbish!,6.3666954,2.5387049,unknown
package was meant to be delivered to  today and no update on it 😩😩 so sad,-0.34286878,1.5783138,unknown
Just bought these Doritos from  express in Yeovil. Taste weird. Checked the date..... https://t.co/DVuxZYccxm,6.756378,0.34232813,unknown
Hello is there any chance of some minced pies/mulled wine for 2nd December Chingford Mount xmas choir service please? :),5.874605,0.29734892,unknown
. not impressed. I just opened my new packet of Tesco plain flour (BB Jan 2018) to find some 6-legged friends... 🐛🐛🐛🐛,6.0806756,-0.24016786,unknown
@405903 just got a free sample of Singapore curry from    it tasted amazing!  Good job,7.9388137,-0.419689,unknown
Why does your website saying clothes are in stock at my local store yet staff say they haven't had any delivered yet?! Waste of time!,2.7454944,0.48280644,unknown
have sent you a DM this morning :-),2.410831,5.7447395,unknown
"just been refused old style £10 note as payment Tesco low Ousegate York, told it's not legal tender that is wrong",2.5513775,-2.4241505,unknown
saw 3 shelves of pastries cleared in to a bin bag. A strange way to transport food to the St Albans homeless shelter up the road! No?,5.779377,-0.4407233,unknown
when are your Christmas delivery slots out please?,-1.5266917,1.1176051,unknown
"Hi  , these Finest ham half slices appear significantly less than half. https://t.co/zmXN2AGHMJ",7.301519,-0.52849394,unknown
saw this in Southend Extra for £29 but out of stock only display but says £39 online?!? https://t.co/CEZ16m80Do,3.1176786,0.06662456,unknown
just visited great Notley Essex why don't you stock a basic calculator for £1 to £3 as don't need £9.99 scientific one?,2.850575,-0.04572158,unknown
"huns, these oranges were dated 14.11.17, it’s the 19th why are they on the shop floor and why doesn’t the manager care that they’re stale? 🤮 https://t.co/70Gxf4viKE",7.242557,2.0351794,unknown
sign clearly says Luxury tinsel £1. Yet charged £3 . Explain your signage please. https://t.co/sk3Oo7t1iP,2.9382756,0.05823183,unknown
"no delivery, no communication re running late, this is becoming the norm again, poor service #tesco",0.06774567,1.7970337,unknown
"I really really need your help!! I am desperately trying to find this mug: https://t.co/gxHO2wd0UY all the stores I have visited are out of stock, and they’re out of stock online. I really want to get them for a Christmas gift for my Mum! Please help me!! 😃",3.994775,0.0664893,unknown
"The faux fur throw bought in your Dumfries store today is Jack Russell Approved. 

(I'm not getting to share.) https://t.co/ZlRZQKYBN9",4.8970556,1.4025598,unknown
@sainsburys @marksandspencer @117250 @117246 Pls stop selling fruit&amp;veg in plastic nets which do not decompose &amp; destroy wildlife https://t.co/SRQY6AqT07,6.1539025,1.6590977,unknown
"I'm sure  are doing me over with my clubcard points, I always forget to get the points on the day. So, go back a couple of days later with my receipts and somehow they only ever put 10 points on.. I've accumulated much more than 10 points on petrol there 🙄🙄🙄",-0.4064846,-0.8261509,unknown
have you removed Everyday Value ready meals from Metro &amp; Express stores planogram ? None near me stock it anymore ?? Missing my awesome EV macheese on cheese &amp; toast https://t.co/8g2OneUx3K,6.5784993,-0.62306285,unknown
"ruining 11 year olds christmas’ since 2017! Let me place the order and even emailed to say it’s been dispatched and delivered, only to email me before collection to say it was unavailable! https://t.co/8hwVCpqojD",0.9658058,1.4485475,unknown
Stocked up for #christmaschocolate thanks to  offers. Let's see what lasts to Christmas https://t.co/p7H76SzB13,5.2760963,1.2437452,unknown
can you help me with an order please,-0.29143503,0.6729101,unknown
A massive thank you for the excellent service I received from Bel  Silverburn store she went above and beyond #everylittlehelps,0.6523496,3.4995039,unknown
Thanks for displaying your Christmas elf accessories in a prominent place and obvious to children! They now know that parents buy everything for their magical  ‘elf on the shelf’  Christmas ruined 😡,5.0406437,1.4684445,unknown
Just bought this from  in Banbury. I make that less than about two thirds full. https://t.co/UCFOUQrqMX,3.926251,0.67944956,unknown
I bought one of your products and i had to take a week off work because of this.,3.6923816,0.53616077,unknown
sent you a dm,2.3823485,5.7722344,unknown
"If you're going to sell xmas pudding from September, could you please also sell the brandy-laced cream that's needed to eat it?",5.9426103,0.27010217,unknown
"most common thing I have found with my online grocery shop this morning is ""Oops, nothing here"". Very frustrating !",0.6479623,-0.74688935,unknown
"Somehow doubt the dirty, messy, shambolic  on the Old Kent Road has a manager, but if they do they need to sacked pretty quickly...",2.5476305,2.5009968,unknown
"if restaurant vouchers say they’ll expire on 14/10/17, do they expire at midnight tonight, or did they expire at midnight last night?",-0.79927665,-0.42087686,unknown
"if you haven’t got enough copies of a new game on RELEASE DAY, maybe don’t put so many display cases out... 🖕",2.2357287,-1.211955,unknown
When your  delivery includes a melon 🍉 instead of a LEMON 🍋 🙄👏,7.1263075,1.5310979,unknown
WHAAAAAAH! GRAPE GRIPE! I got some @123088 for ya. I found a half dead spider with a web of eggs inside my  grapes. Yuhuh. https://t.co/QOeK3LOGi3,8.02064,1.2555212,unknown
Top tip! Got £15 pounds in vouchers from Tesco yesterday 🙂I only ever buy a top up loaf and bits of fruit there so very happy with that! Thanks  😉 https://t.co/LV48AV0oEJ,5.342239,0.71432585,unknown
fabulous deliver guy just dropped my shopping in. An absolute credit to you.,0.6167694,3.3163774,unknown
Why isn't your online shopping page working? I was halfway through my order 😑 https://t.co/g9zR18cfxx,0.63476974,-0.8435775,unknown
why isn't wonder woman on this boys outfit  . Justice leave includes wonder woman! My boy like the whole team @119777 https://t.co/eKGsUkXmor,4.903915,2.8860204,unknown
Got some @370246 #CatSoup for Alan Cat 🙀 from  with voucher yesterday &amp; they actually added 50p onto the bill! ☹️😿 https://t.co/oZUwRQ0vif,5.014991,0.32661784,unknown
Sorry https://t.co/B3Ymjpam7J this is not the quality I would pick for myself. :-( Looks like it was picked by Edward Scissorhands https://t.co/7thBwWsPsG,4.023164,0.91729933,unknown
"I finally decided to try a baguette from Tesco, as expected, not good.  you don't know how to baguette.",6.695113,-0.9268391,unknown
How many days does  think its customers should take off work to receive a furniture delivery? #badcustomerservice,-0.08182451,1.5664668,unknown
and received... what is it? It don't look like the other picture https://t.co/VNTUzP6j8r,3.8889575,0.7717573,unknown
orderd wife's birthday present online Monday morning for collection Tuesday from store still no email or txt to say it's arrived,-0.26007628,0.8739663,unknown
"Your cafe staff at Pengam Green, Cardiff, on Sunday morning, were so happy and friendly. A credit to your company.  #greatservice",0.84487414,3.5096025,unknown
aPEARently these are in date....  Surrey Quays trying to poison me this evening with their less than PEARfect food! https://t.co/G2Nc7wtkgx,6.0311546,0.5165406,unknown
Come on  why do you only stock own brand #fruitandfibre in 500g - only lasts 2 days in our house !! https://t.co/jgGakbjdM9,6.6925974,1.5987144,unknown
Lady running tills at  Tidworth at 11 watched me for 3 minutes. When I started to load belt she opened other tills for those behind.,1.6679307,2.6660457,unknown
HOW DARE YOU MAKE THIS WEIRD ASS CATERPILLAR CAKE. YOU ARE SLANDERING THE NAME OF COLLIN. https://t.co/HxNjApUnB8,6.7569957,0.6458543,unknown
"do u guys make money off them 10p bag sales? at ur self service tills, hate how uve got rid of the 5p ones at thm tills, ""the 10p ones we will replace for free"" like I'm gonna carry tht bastard around wit me nxt time I go in",2.7850444,0.5219298,unknown
Pupils bag packing 10-4 today  Dalgety Bay to raise funds for next BeathHS @64311 trip Oct18 👍🏻#partnership #globalcitizens https://t.co/pkIov7l0fj,5.0313854,2.4671507,unknown
my delivery was due to come an hour and a half ago but is still a no show and yet on the website it says it's been delivered. 😪😪😪,-0.45867255,1.4510633,unknown
"""always""? Never. I've actually never seen this machine available. https://t.co/DtxDOcfnXN",3.010395,0.870641,unknown
#Ayrshire people! Can you help out @44312 with some underwear? New and unopened. No old skants 😂 @Morrisons  @sainsburys @117249 https://t.co/EhNKhbXZlK,4.2145915,2.9655902,unknown
I'm trying to activate my Clubcard with the details on my Clubcard but it says it doesn't match your records - please help. Thanks!,-0.9789764,-0.5424493,unknown
"Hi  have you stopped production of your Goodness Fruit Drink cartons? It was the only juice we could find which doesn't contain sugar or sweetener &amp; our son loves it, but our local store no longer seems to sell it :(",6.929543,1.6033884,unknown
@115830 Thanks for fast &amp; furious 8 dvd! Pre ordered for delivery date release and now says be with you by Wednesday! I'll go to Tesco! 😡,2.3354592,-0.11016539,unknown
I think you might need to adjust your best before dates. Doubt this occurred over night https://t.co/elrFZ4IM8N,4.006502,3.2458048,unknown
disgusting!!! https://t.co/2AYtfjEblX,5.273347,3.6015923,unknown
"Hi, I don’t suppose Tesco Musselburgh are doing a midnight launch for Call of Duty, seen they close at midnight ?",2.8608308,-1.2908518,unknown
Wtf  everytime I visit formby store it stinks like a turkish drain in summer. Staff can't smell the bullshit but they can talk it !,2.9312952,2.4417665,unknown
More trials and tribulations with your website - I can't find the button to add an item to a stored shopping list. Can you ask your tech team to restore it please? I don't think I've found a single thing about the revamped site that makes it easier or better to use ☹️,0.70222473,-1.5327188,unknown
can you stock Harissa paste in Duke’s Green store please? Thanks,4.116016,-0.14686283,unknown
And now there’s no delivery slots in my area for the rest of the week. SRSLY? Can you get back to me.,-0.6436925,1.1753489,unknown
"Really is a depressing sight going in late night at  and seeing the huge sacks of food (mainly breads) being collected destined for the skip.
Wasted resource.
Wasted money.
Wasted energy.
Something has to change...",5.8018703,-0.41886437,unknown
Everything it seems #Tesco  😂 https://t.co/Pti4rFx51Y,4.5663943,2.4259672,unknown
"Drove 20mins to ""24hr""  for shiny new @117331. An hour later it's bricked. Drove back, told returns close at 10pm. Thanks all.",0.44513488,1.6292498,unknown
becoming a regular occurrence this https://t.co/5R2O4JY0L0,4.589982,3.5694618,unknown
So glad I picked up the  magazine and scraped every penny I had together to buy a bottle of rum for this festive treat! Christmas Pudding rum is already infusing ready for my Christmas meal with my best friends 🥃💛👌🏻 https://t.co/oF0XJBv77q,5.6603456,0.9970752,unknown
"Collecting large cardboard boxes for @793468 charity sleepout on 8th December to help raise funds for @108987 (a local homeless charity for 16-25 yr olds).

If able to help just let me know and I will arrange for collection

@6529 @117249 @108988",5.3192444,2.0732687,unknown
Planned dinner tonight was the fresh chicken from the  delivery and apparently they had none and no substitutions.. 😭,7.839293,-1.2894315,unknown
"Hi, we have been waiting for order number 4P684WBYV to be delivered to Crawley Hazelwick store to collect. Email advised should arrive on 21/11 but no info to say it has been delayed or delivered. Tracking shows it has been with despatch office since Monday. Please help.",-0.28225794,0.73198164,unknown
